"path","status","area","redesign_change","main_change","changed_since_v2","only_whitespace_vs_main","cleanup_action","main_blob","redesign_blob"
".claude/launch.json","both_changed_differently","Build and development tooling","added","added","false","false","Preserved pending release decision","cf47cbf9c1cf58b2bc74a79f063cf9d86a3fd17a","12b32e080e5dedcce555fdf973bc790dccd7cd9e"
".env.example","redesign_only_change","Build and development tooling","modified","unchanged","true","false","Preserved pending release decision","696ccd6e7f3a24d446123a22ef82a14ff186f2cb","914b04571379b6dd80ea29253a930137b7217bcb"
".gitignore","redesign_only_change","Build and development tooling","modified","unchanged","true","false","Broadened ignore rule to /.next-*/","7b8da95f5e59cc72a63ed135ddaf5952d440535e","4386d484f9028f52b90ae05a5fcdd15e3565c5e8"
".next-jobs-verify/_events.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","1a21e8a04d278613ffa3773353128885cd0e0cfe"
".next-jobs-verify/app-build-manifest.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","2b568e1ab7c1fb242341b07c8f6fd57923be64d9"
".next-jobs-verify/build-manifest.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","623fe7b706a0dea1cadd066262ec7a791350c5fd"
".next-jobs-verify/cache/webpack/edge-server-development/0.pack.gz","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","26afc6fa2d43ebb9deae396e207bcd1701fc7979"
".next-jobs-verify/cache/webpack/edge-server-development/index.pack.gz.old","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","b69e3e3094fd4f79c4351c3d2e8f69e5875f8a39"
".next-jobs-verify/react-loadable-manifest.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","b67599c644f183fed852c8e1373c1b42e63a2329"
".next-jobs-verify/server/app-paths-manifest.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","9e26dfeeb6e641a33dae4961196235bdb965b21b"
".next-jobs-verify/server/app/api/admin/discovery/jobs/route_client-reference-manifest.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","a9d2fbafdb92f587fe31f3762720186c55f4bf37"
".next-jobs-verify/server/edge-runtime-webpack.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","153689f20bd2e615d2c0606a567bbe6184d29fde"
".next-jobs-verify/server/interception-route-rewrite-manifest.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","82d3ab17daf7f6666b3f77ca3f75cd45a04e181a"
".next-jobs-verify/server/middleware-build-manifest.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","13940e97b370f08b5497be54794449a5938c7e4a"
".next-jobs-verify/server/middleware-manifest.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","825e0ded64fa59c978eae48a539e21d2ed061fc2"
".next-jobs-verify/server/middleware-react-loadable-manifest.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","86f1038a6aecf76ff517d73aa6372fe0a5f0e29e"
".next-jobs-verify/server/middleware.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","8c8e4da3da937a65cda115866b688523d8bf4ed0"
".next-jobs-verify/server/next-font-manifest.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","5cc97ebd00ab11950b6f8777c2fea2ec10afc494"
".next-jobs-verify/server/next-font-manifest.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","25f78e72b334089404d8a0d1203a7443cd0f3f69"
".next-jobs-verify/server/pages-manifest.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","9e26dfeeb6e641a33dae4961196235bdb965b21b"
".next-jobs-verify/server/server-reference-manifest.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","cc0af96fe916fa086024e71098df83ba0bf0ac50"
".next-jobs-verify/server/server-reference-manifest.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","b7b420c42f0b5d65fb3a16831429f605356bc0a4"
".next-jobs-verify/server/static/webpack/48aa5eb9daf884d8.edge-runtime-webpack.hot-update.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","1f699c21f1293f33c64c3bbcc0e6dd70ccc047e1"
".next-jobs-verify/server/static/webpack/6a079980a5d57515.edge-runtime-webpack.hot-update.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","1f699c21f1293f33c64c3bbcc0e6dd70ccc047e1"
".next-jobs-verify/server/static/webpack/edge-runtime-webpack.48aa5eb9daf884d8.hot-update.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","cae0bc3d29cd90697afdd7319053a1e97bb09bbc"
".next-jobs-verify/server/static/webpack/edge-runtime-webpack.6a079980a5d57515.hot-update.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","319f290a83fe1eeca1626686ca626862a9f35bd0"
".next-jobs-verify/server/static/webpack/middleware.48aa5eb9daf884d8.hot-update.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","1909028ca05e760332a76e33943627b2e7538962"
".next-jobs-verify/server/static/webpack/middleware.6a079980a5d57515.hot-update.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","1909028ca05e760332a76e33943627b2e7538962"
".next-jobs-verify/static/development/_buildManifest.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","fda46a47d695c5699155d831d7c284495edc8919"
".next-jobs-verify/static/development/_ssgManifest.js","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","2260768dc5ed2038ca4a4ee405a15f82886a290f"
".next-jobs-verify/trace","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","573520243b6b62bfb7f19a91c70ee2fe273a4bb7"
".next-jobs-verify/types/cache-life.d.ts","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","fc0e8f8c39a57aec46ac3ef1fd940fce756da682"
".next-jobs-verify/types/package.json","redesign_only_change","Generated build output","added","unchanged","true","false","Removed from cleanup branch","","1632c2c4df6894a83b70fa949fb32a9d4881adf9"
"README.md","redesign_only_change","Build and development tooling","modified","unchanged","true","false","Preserved pending release decision","d2b8e89d70d0c3f381f6985caf9c8687e00b54b9","c573e00fc85a555f28ddcecdfbde39e3abe0fae6"
"docs/AGENT_GUIDE.md","both_changed_differently","Documentation","modified","modified","true","false","Preserved pending release decision","ca0eaef89aa65ecbebf375f5563a2f09c6a874b2","684404285718b589ea43c701e9a01dcbb42cd144"
"docs/DATABASE.md","both_changed_differently","Documentation","modified","modified","true","false","Preserved pending release decision","7a064bdd5cb496350f4e00d28105cc71b29c1c74","642ea56146d091e67ef39fafe94abb567a5df3a9"
"docs/WEBSITE.md","both_changed_differently","Documentation","modified","modified","false","false","Preserved pending release decision","e3e727303f55178debc54993e2df69845811cc6d","f143c040b4356a70f16a66941f952c6068762326"
"docs/discovery-admin-design.md","already_on_main_identical","Documentation","added","added","true","false","Preserved pending release decision","e6c0a85824c2f376dd13dfb0b238b54272c0a038","e6c0a85824c2f376dd13dfb0b238b54272c0a038"
